ResponseId,Tiempo transcurrido,Delay12,Delay
R_2afMwzTtBk3V4Uk,11:39:12,1,1
R_1n16MsBQcx49Kkl,12:26:23,0,1
R_31HOHD3Vp7bj90f,12:37:46,0,1
R_1QonPwz2eaqQinx,12:40:51,0,1
R_3PNRK7irJMklkFO,12:57:17,0,1
R_d9Z1aWTMEW3XqJb,13:04:46,0,1
R_2fpMpLK7lUbVURf,13:05:29,0,1
R_1nT73rBCxui7TQB,13:15:49,0,1
R_32Qv0zcMObFkZIs,13:18:43,0,1
R_2c8DHNpjkwSn8eZ,13:24:18,0,1
R_1P1QulcMq2ac5o0,14:01:51,0,1
R_3HwCJDfL6MFr1Pt,16:19:06,0,1
R_1DMzXFScrrwWtYY,16:46:09,0,1
R_3eqwV95nsGGMr1g,17:30:08,0,1
R_2RTVfOzaVtEqsqD,17:33:33,0,1
R_39IEqIVIJp7LGjn,18:07:04,0,1
R_yl8FPRP1KsRPH6p,18:48:36,0,1
R_2YFAqonVZd1gcgo,19:56:30,0,1
R_2E5Z3PNxvl2DdIx,21:01:46,0,1
R_W7B8gtz28JXTAHv,21:34:25,0,1
R_2EzBMUtYWqWCyKx,22:06:50,0,1
R_3EW4bkszBmwtysC,22:16:18,0,1
R_3OjHIOO5dbiPuO1,22:24:51,0,1
R_3fiOowQSR0q0MG4,23:08:59,0,1
R_yDu5IQa185ztwZ3,23:15:14,0,1
R_tYz1KbgkSsgABRD,23:40:48,0,1
R_1gO3qGSv0LSpMIE,23:42:04,0,1
R_25Tu8faZSKSTarB,23:44:27,0,1
R_3ku3g45Mo1MAQwR,23:44:36,0,1
R_3dMwh69Ywz8tZZE,23:58:14,0,1
R_10HQRoT02yDljL9,24:08:26,0,1
R_2TGkmbdkAnm1EDs,25:15:37,0,1
R_3e20CQ8XoDmzO2f,25:42:21,0,1
R_Q6WrFMCb4al9gop,26:07:07,0,1
R_ahr8odwc6owI653,26:44:51,0,1
R_263GWOR4yQZAlRv,27:47:22,0,1
R_2znyWaok3izfqDx,30:01:46,0,1
R_3O0QiC4IAbNCk6N,33:52:13,0,1
R_20NCXgDtjtVSclH,36:39:32,0,1
R_33EgUx2cHwUovRU,37:52:55,0,1
R_1irpcblgwHfz4IQ,38:38:56,0,1
R_3pfNDL8eNqBGnbc,38:47:18,0,1
R_6AtGmHSSS4zCxEZ,38:56:29,0,1
R_1HhmH48WIIOYAH5,39:28:56,0,1
R_273ab6t2LOT0H42,39:31:17,0,1
R_20YbHmrew2fjhYK,40:29:52,0,1
R_1q2ESoB7sNpcvpW,40:52:22,0,1
R_3NCaLQB2HA02bNG,41:14:32,0,1
R_3qBYTfnjiYBZD9C,42:41:51,0,1
R_1ILXfCbRFhowjvs,47:15:23,0,1
R_06YEm11iwc010sN,47:48:55,0,1
R_xctp6PDykLf5Ec1,48:07:58,0,1
R_3e4A0MimEaAFmCN,48:27:38,0,1
R_3M68pL0ZKcmqaDd,48:32:33,0,1
R_PIgK67lM9HXclgd,49:24:19,0,1
R_3PTA18o62zJeaXo,50:07:25,0,1
R_1litjLXtuSYx3NE,55:28:48,0,1
R_2qxUIL5PbO7jLmy,56:18:08,0,1
R_1pnfWxWoD1zAy1M,63:47:36,0,1
R_324wTId01ECnyec,66:30:03,0,1
R_1r7VywCnuIXGKIc,88:24:49,0,1
R_1mx5A5JAJGwPYjo,90:36:29,0,1
R_2tsrZlESnBuZk2l,91:49:04,0,1
